OverallQual,MSSubClass_40,MasVnrType_BrkCmn,GarageType_Basment,CentralAir_Y,LandContour_Lvl,Exterior1st_Wd Sdng,Exterior2nd_Wd Shng,Neighborhood_Sawyer,Neighborhood_NPkVill,Exterior2nd_VinylSd,LotShape_IR2,BsmtExposure_No,RoofMatl_Tar&Grv,BldgType_Twnhs,MSZoning_FV,Functional_Sev,BsmtQual_0,FullBath,BldgType_Duplex,Fireplaces,Heating_Grav,RoofStyle_Gable,Exterior2nd_CBlock,Exterior1st_BrkFace,MSSubClass_90,Exterior2nd_Stone,GarageType_2Types,BldgType_2fmCon,FireplaceQu_Ex,HeatingQC_Gd,MSZoning_RL,LandSlope_Sev,GarageCond_Fa,Condition1_RRAe,Condition2_PosA,Exterior1st_MetalSd,1stFlrSF,ExterQual_Fa,Functional_Min1,Neighborhood_Edwards,ExterCond_Po,Condition1_RRNn,ExterCond_Fa,Exterior1st_HdBoard,MSSubClass_120,ExterCond_Gd,HouseStyle_1.5Fin,GarageFinish_0,Baths,MSSubClass_180,FireplaceQu_Gd,Neighborhood_Somerst,BsmtExposure_Mn,GarageFinish_RFn,Exterior2nd_ImStucc,MiscFeature_Gar2,Foundation_CBlock,BsmtCond_TA,GarageType_CarPort,KitchenQual_Fa,has_ScreenPorch,Exterior1st_WdShing,Foundation_Slab,BsmtQual_Gd,GarageQual_Po,MSSubClass_80,YearBuilt,RoofStyle_Hip,BsmtFinType2_LwQ,Neighborhood_NAmes,BsmtHalfBath,Exterior1st_AsphShn,Exterior2nd_Brk Cmn,Exterior2nd_BrkFace,GarageCond_TA,LandContour_Low,MiscFeature_Shed,KitchenQual_Ex,Fence_GdWo,LotConfig_FR2,Neighborhood_MeadowV,BsmtCond_Po,BsmtFinType2_Rec,Condition2_Feedr,Foundation_Wood,MoSold,Exterior2nd_AsbShng,TotRmsAbvGrd,SaleType_Con,Neighborhood_NridgHt,Id,HeatingQC_Ex,MiscFeature_0,has_OpenPorchSF,RoofMatl_WdShngl,MSSubClass_30,Exterior2nd_AsphShn,YearRemodAdd,GarageArea,LotShape_IR1,LotShape_Reg,Neighborhood_SawyerW,Foundation_PConc,MSSubClass_20,Fence_MnPrv,PoolQC_0,HouseStyle_2.5Unf,SaleCondition_Alloca,Exterior2nd_Plywood,MSSubClass_50,MSSubClass_85,TotalBsmtSF,PoolQC_Gd,Foundation_Stone,Neighborhood_IDOTRR,BldgType_1Fam,HouseStyle_SFoyer,BsmtExposure_Gd,HouseStyle_2Story,Condition1_RRAn,KitchenAbvGr,HouseStyle_SLvl,PavedDrive_P,GarageType_0,LotShape_IR3,Alley_0,BsmtFinType2_GLQ,RoofStyle_Mansard,Electrical_SBrkr,PoolQC_Ex,GarageQual_TA,Electrical_FuseF,has_WoodDeckSF,MSSubClass_160,RoofMatl_CompShg,Exterior1st_Plywood,SaleType_ConLD,Condition1_RRNe,BsmtFinType2_ALQ,MSSubClass_45,Exterior2nd_CmentBd,GarageType_Attchd,GarageType_BuiltIn,GarageYrBlt,SaleType_ConLI,ExterQual_Ex,BsmtFinSF1,Neighborhood_SWISU,MasVnrArea,Fence_GdPrv,Heating_GasA,GarageCond_Gd,MSZoning_RM,Neighborhood_Mitchel,SaleType_ConLw,BsmtQual_Ex,PoolArea,Condition2_Norm,Heating_Wall,BsmtFinType2_Unf,SaleType_WD,GarageType_Detchd,GarageQual_0,BldgType_TwnhsE,Neighborhood_StoneBr,Functional_Min2,BsmtFinSF2,Fence_MnWw,EnclosedPorch,Exterior1st_Stucco,Exterior2nd_HdBoard,Neighborhood_Veenker,RoofMatl_WdShake,open_outside_areas,BsmtFinType1_LwQ,ExterCond_TA,LotConfig_Inside,HouseStyle_1.5Unf,ScreenPorch,Condition2_PosN,GarageCars,Neighborhood_BrkSide,RoofStyle_Flat,HeatingQC_TA,ExterQual_TA,has_PoolArea,RoofStyle_Shed,SaleCondition_Abnorml,BsmtFinType2_0,Exterior1st_BrkComm,Alley_Pave,PavedDrive_Y,PavedDrive_N,Condition1_Norm,Condition1_Feedr,Exterior1st_AsbShng,Neighborhood_Crawfor,roominess,HalfBath,BsmtFinType1_0,MasVnrType_0,SaleCondition_Partial,SaleType_CWD,BsmtExposure_Av,LotConfig_CulDSac,LandSlope_Gtl,ExterQual_Gd,BsmtFinType2_BLQ,GarageCond_0,Exterior2nd_Wd Sdng,Neighborhood_Blueste,LandContour_Bnk,FireplaceQu_Po,BsmtFullBath,Exterior2nd_Stucco,SaleType_COD,MSSubClass_75,Functional_Typ,GarageQual_Gd,Neighborhood_Blmngtn,OpenPorchSF,Condition1_Artery,MSZoning_RH,Neighborhood_Gilbert,LotConfig_Corner,BsmtFinType1_GLQ,Street_Grvl,Neighborhood_OldTown,MasVnrType_Stone,ExterCond_Ex,Foundation_BrkTil,MasVnrType_None,BsmtCond_Gd,Exterior1st_VinylSd,MSZoning_C (all),Exterior1st_CBlock,RoofStyle_Gambrel,MSSubClass_190,BsmtQual_TA,LowQualFinSF,MSSubClass_70,WoodDeckSF,Fence_0,Condition1_PosA,has_MasVnrArea,Electrical_FuseP,Utilities_AllPub,has_LowQualFinSF,BsmtFinType1_Rec,Neighborhood_CollgCr,MiscVal,Neighborhood_NWAmes,BsmtCond_0,GarageFinish_Fin,BsmtQual_Fa,Exterior2nd_MetalSd,BsmtExposure_0,has_3SsnPorch,Functional_Maj2,KitchenQual_Gd,3SsnPorch,LandSlope_Mod,MiscFeature_Othr,GrLivArea,GarageQual_Fa,Street_Pave,FireplaceQu_Fa,MSSubClass_60,door_porch,HouseStyle_1Story,has_EnclosedPorch,GarageCond_Ex,Exterior1st_CemntBd,SaleCondition_Family,Neighborhood_BrDale,SaleType_New,Neighborhood_Timber,HeatingQC_Fa,SaleCondition_Normal,YrSold,CentralAir_N,SaleType_Oth,OverallCond,Electrical_FuseA,LotFrontage,2ndFlrSF,GarageCond_Po,Functional_Mod,BsmtFinType1_Unf,MasVnrType_BrkFace,BsmtUnfSF,Heating_GasW,KitchenQual_TA,BedroomAbvGr,Neighborhood_NoRidge,BsmtFinType1_ALQ,Alley_Grvl,GarageFinish_Unf,Condition1_PosN,has_MiscVal,FireplaceQu_TA,Condition2_Artery,LandContour_HLS,Neighborhood_ClearCr,BsmtCond_Fa,LotConfig_FR3,BsmtFinType1_BLQ,LotArea,HeatingQC_Po,SaleCondition_AdjLand,FireplaceQu_0,Functional_Maj1,SalePrice
7,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,856,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,2003,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,1,1,1,1,0,0,0,2003,548,0,1,0,1,0,0,1,0,0,0,0,0,856,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,2003.0,0,0,706,0,196.0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,213.75,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,61,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1710,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2008,0,0,5,0,65.0,854,0,0,0,1,150,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8450,0,0,1,0,208500
6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1262,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1976,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,5,0,6,0,0,2,1,1,0,0,0,0,1976,460,0,1,0,0,1,0,1,0,0,0,0,0,1262,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1976.0,0,0,978,0,0.0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,210.33333333333334,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,298,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1262,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2007,0,0,8,0,80.0,0,0,0,0,0,284,0,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,9600,0,0,0,0,181500
7,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,920,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,2001,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,6,0,0,3,1,1,1,0,0,0,2002,608,1,0,0,1,0,0,1,0,0,0,0,0,920,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,2001.0,0,0,486,0,162.0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,297.6666666666667,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,42,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1786,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2008,0,0,5,0,68.0,866,0,0,0,1,434,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,11250,0,0,0,0,223500
7,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,961,0,0,0,0,0,0,0,0,0,0,0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1915,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,4,0,1,1,0,0,0,1970,642,1,0,0,0,0,0,1,0,0,0,0,0,756,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1998.0,0,0,216,0,0.0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,272,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,245.28571428571428,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,35,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1717,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2006,0,0,5,0,60.0,756,0,0,0,0,540,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,9550,0,0,0,0,140000
8,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1145,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,2000,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,12,0,9,0,0,5,1,1,1,0,0,0,2000,836,1,0,0,1,0,0,1,0,0,0,0,0,1145,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,2000.0,0,0,655,0,350.0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,244.22222222222223,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,84,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,192,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2198,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2008,0,0,5,0,84.0,1053,0,0,0,1,490,0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,14260,0,0,0,0,250000
5,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,796,0,0,0,0,0,0,0,0,0,1,0,2.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1993,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,10,0,5,0,0,6,1,0,1,0,0,0,1995,480,1,0,0,0,0,1,1,0,0,0,1,0,796,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1993.0,0,0,732,0,0.0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,272.4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,30,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,40,0,0,0,0,1,0,0,0,700,0,0,0,0,0,0,1,0,0,320,0,0,1362,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2009,0,0,5,0,85.0,566,0,0,0,0,64,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,14115,0,0,1,0,143000
8,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1694,0,0,0,0,0,0,0,0,0,0,0,3.0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2004,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,7,0,0,7,1,1,1,0,0,0,2005,636,0,1,0,1,1,0,1,0,0,0,0,0,1686,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,2004.0,0,0,1369,0,186.0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,242.0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,57,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,255,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1694,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2007,0,0,5,0,75.0,0,0,0,0,0,317,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,10084,0,0,0,0,307000
7,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1107,0,0,0,0,0,0,1,0,0,0,0,3.5,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1973,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,11,0,7,0,0,8,1,0,1,0,0,0,1973,484,1,0,0,0,0,0,1,0,0,0,0,0,1107,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1973.0,0,0,859,0,240.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,32,0,228,0,1,0,0,1,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,298.57142857142856,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,204,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,235,1,0,1,0,1,0,0,0,350,1,0,0,0,0,0,0,0,0,0,0,0,2090,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,2009,0,0,6,0,70.04995836802665,983,0,0,0,0,216,0,1,3,0,1,0,0,1,1,1,0,0,0,0,0,0,10382,0,0,0,0,200000
7,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,2,0,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1022,0,1,0,0,0,0,0,0,0,1,0,2.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1931,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,9,0,1,0,0,0,0,1950,468,0,1,0,0,0,0,1,0,0,0,1,0,952,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1931.0,0,0,0,0,0.0,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,205,0,0,0,0,1,0,1,1,0,0,0,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,221.75,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,90,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1774,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2008,0,0,5,0,51.0,752,0,0,1,0,952,0,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,6120,0,0,0,0,129900
5,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1077,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1939,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,10,1,1,1,0,0,0,1950,205,0,1,0,0,0,0,1,0,0,0,0,0,991,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1939.0,0,0,851,0,0.0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,215.4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,4,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1077,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2008,0,0,6,0,50.0,0,0,0,0,0,140,0,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,7420,0,0,0,0,118000
