1stFlrSF,Baths,BsmtFinType1_GLQ,BsmtQual_Ex,ExterQual_Ex,ExterQual_TA,Fireplaces,GarageCars,GarageFinish_Fin,GarageFinish_Unf,GrLivArea,HeatingQC_Ex,KitchenQual_Ex,KitchenQual_TA,MasVnrArea,Neighborhood_NridgHt,OverallQual,SalePrice,YearBuilt,YearRemodAdd,has_OpenPorchSF
856,3.5,1,0,0,0,0,2,0,0,1710,1,0,0,196.0,0,7,208500,2003,2003,1
1262,2.5,0,0,0,1,1,2,0,0,1262,1,0,1,0.0,0,6,181500,1976,1976,0
920,3.5,1,0,0,0,1,2,0,0,1786,1,0,0,162.0,0,7,223500,2001,2002,1
961,2.0,0,0,0,1,1,3,0,1,1717,0,0,0,0.0,0,7,140000,1915,1970,1
1145,3.5,1,0,0,0,1,3,0,0,2198,1,0,0,350.0,0,8,250000,2000,2000,1
796,2.5,1,0,0,1,0,2,0,1,1362,1,0,1,0.0,0,5,143000,1993,1995,1
1694,3.0,1,1,0,0,1,2,0,0,1694,1,0,0,186.0,0,8,307000,2004,2005,1
1107,3.5,0,0,0,1,2,2,0,0,2090,1,0,1,240.0,0,7,200000,1973,1973,1
1022,2.0,0,0,0,1,2,2,0,1,1774,0,0,1,0.0,0,7,129900,1931,1950,0
1077,2.0,1,0,0,1,2,1,0,0,1077,1,0,1,0.0,0,5,118000,1939,1950,1
1040,2.0,0,0,0,1,0,1,0,1,1040,1,0,1,0.0,0,5,129500,1965,1965,0
1182,4.0,1,1,1,0,2,3,1,0,2324,1,1,0,286.0,1,9,345000,2005,2006,1
912,2.0,0,0,0,1,0,1,0,1,912,0,0,1,0.0,0,5,144000,1962,1962,0
1494,2.0,0,0,0,0,1,3,0,0,1494,1,0,0,306.0,0,7,279500,2006,2007,1
1253,2.5,0,0,0,1,1,1,0,0,1253,0,0,1,212.0,0,6,157000,1960,1960,1
854,1.0,0,0,0,1,0,2,0,1,854,1,0,1,0.0,0,7,132000,1929,2001,1
1004,2.0,0,0,0,1,1,2,1,0,1004,1,0,1,180.0,0,6,149000,1970,1970,0
1296,2.0,0,0,0,1,0,2,0,1,1296,0,0,1,0.0,0,4,90000,1967,1967,0
1114,2.5,1,0,0,1,0,2,0,1,1114,1,0,0,0.0,0,5,159000,2004,2004,1
1339,1.0,0,0,0,1,0,1,0,1,1339,0,0,1,0.0,0,5,139000,1958,1965,0
1158,3.5,0,1,0,0,1,3,0,0,2376,1,0,0,380.0,1,8,325300,2005,2006,1
1108,1.0,0,0,0,1,1,1,0,1,1108,1,0,0,0.0,0,7,139400,1930,1950,0
1795,2.0,0,0,0,0,1,2,0,0,1795,1,0,0,281.0,0,8,230000,2002,2002,1
1060,2.0,1,0,0,1,1,2,0,1,1060,0,0,1,0.0,0,5,129900,1976,1976,1
1060,2.0,0,0,0,1,1,1,0,1,1060,1,0,0,0.0,0,5,154000,1968,2001,1
1600,2.0,0,0,0,0,1,3,0,0,1600,1,0,0,640.0,1,8,256300,2007,2007,1
900,1.5,0,0,0,1,0,2,0,1,900,0,0,0,0.0,0,5,134800,1951,2000,1
1704,3.0,1,1,0,0,1,3,0,0,1704,1,0,0,200.0,1,8,306000,2007,2008,1
1600,2.0,0,0,0,1,2,1,0,0,1600,0,0,1,0.0,0,5,207500,1957,1997,1
520,1.0,0,0,0,1,0,1,0,1,520,0,0,0,0.0,0,4,68500,1927,1950,0
649,1.0,0,0,0,1,0,1,0,1,1317,0,0,1,0.0,0,4,40000,1920,1950,1
1228,1.5,0,0,0,1,0,1,0,1,1228,0,0,0,0.0,0,5,149350,1966,2006,1
1234,2.0,0,1,0,0,0,2,0,0,1234,1,0,0,0.0,0,8,179900,2007,2007,1
1700,2.0,0,0,0,1,1,2,0,0,1700,0,0,0,0.0,0,5,165500,1959,1959,1
1561,3.0,1,1,1,0,1,2,1,0,1561,1,1,0,246.0,1,9,277500,2005,2005,1
1132,3.5,0,1,0,0,1,3,1,0,2452,1,0,0,132.0,1,8,309000,2004,2005,1
1097,1.5,0,0,0,1,0,2,0,1,1097,1,0,1,0.0,0,5,145000,1994,1995,1
1297,1.5,0,0,0,1,1,2,1,0,1297,0,0,1,650.0,0,5,153000,1954,1990,0
1057,2.0,1,0,0,1,0,1,0,1,1057,0,0,0,0.0,0,5,109000,1953,2007,1
1152,2.0,0,0,0,1,0,0,0,0,1152,0,0,0,0.0,0,4,82000,1955,1955,0
1324,2.0,0,0,0,1,1,2,0,0,1324,1,0,1,101.0,0,6,160000,1965,1965,1
1328,2.0,0,0,0,1,2,1,0,0,1328,0,0,1,0.0,0,5,170000,1959,1959,1
884,2.0,0,0,0,1,0,2,0,0,884,0,0,0,0.0,0,5,144000,1983,1983,0
938,2.0,0,0,0,1,0,1,0,1,938,0,0,1,0.0,0,5,130250,1975,1980,0
1150,2.0,0,0,0,1,0,1,0,0,1150,1,0,1,0.0,0,5,141000,1959,1959,0
1752,3.0,1,1,1,0,1,2,0,0,1752,1,1,0,412.0,1,9,319900,2005,2005,1
1518,2.5,1,1,0,0,1,2,0,0,2149,1,0,0,0.0,0,7,239686,2003,2003,1
1656,2.0,1,0,0,0,0,3,0,0,1656,1,0,0,0.0,0,8,249700,2006,2006,1
736,2.0,0,0,0,1,0,0,0,0,1452,0,0,1,0.0,0,4,113000,1920,2008,0
955,2.0,0,0,0,1,0,1,0,1,955,1,0,1,0.0,0,5,127000,1966,1966,0
794,2.5,1,0,0,1,0,2,1,0,1470,0,0,1,0.0,0,6,177000,1997,1997,1
816,1.0,0,0,0,1,1,2,0,1,1176,0,0,1,0.0,0,6,114500,1934,1950,0
816,2.0,0,0,0,0,0,2,0,1,816,0,0,1,0.0,0,5,110000,1963,1963,0
1842,2.5,1,1,0,0,1,3,1,0,1842,0,0,0,0.0,0,9,385000,1981,1987,1
1360,1.0,0,0,0,1,1,2,0,1,1360,0,0,1,0.0,0,5,130000,1955,1955,1
1425,2.0,0,0,0,1,1,2,0,0,1425,0,0,1,272.0,0,6,180500,1964,1964,0
983,3.5,1,0,0,0,0,2,1,0,1739,1,0,0,456.0,0,8,172500,1999,2000,0
860,2.5,0,0,0,0,0,2,0,0,1720,1,0,0,0.0,0,7,196500,2004,2004,1
1426,3.5,0,1,1,0,1,3,1,0,2945,1,0,0,1031.0,0,10,438780,2006,2006,0
780,1.0,0,0,0,1,0,1,0,1,780,1,0,1,0.0,0,5,124900,1972,1972,0
1158,2.5,0,0,0,1,0,2,0,1,1158,1,0,0,0.0,0,6,158000,2004,2004,1
581,1.0,0,0,0,1,0,1,0,1,1111,0,0,0,0.0,0,5,101000,1920,1996,0
1370,2.0,1,0,0,0,1,2,0,0,1370,1,0,0,178.0,1,8,202500,2006,2006,1
902,2.0,0,0,0,1,0,2,0,1,1710,0,0,1,0.0,0,7,140000,1921,1950,1
1057,3.5,1,0,0,1,0,2,0,0,2034,1,0,0,573.0,0,7,219500,1997,1998,1
1143,2.5,0,1,0,0,1,3,0,0,2473,1,0,0,344.0,1,8,317000,2004,2005,1
2207,3.0,1,0,0,1,1,2,0,0,2207,0,0,1,287.0,0,7,180000,1970,1989,0
1479,3.0,1,0,0,0,0,2,0,0,1479,1,0,0,167.0,0,7,226000,2003,2003,1
747,1.0,0,0,0,1,0,1,0,1,747,0,0,1,0.0,0,4,80000,1945,1950,0
1304,2.0,0,0,0,0,1,2,1,0,2287,0,0,1,0.0,0,7,225000,1953,1953,1
2223,3.0,0,0,0,1,2,2,1,0,2223,1,0,1,1115.0,0,7,244000,1973,1973,0
845,2.0,0,0,0,1,0,2,0,1,845,0,0,1,0.0,0,4,129500,1982,2006,0
885,2.5,0,0,0,1,1,2,1,0,1718,0,0,1,40.0,0,7,185000,1998,1998,1
1086,2.0,0,0,0,1,0,2,0,1,1086,0,0,1,104.0,0,5,144900,1954,2003,0
840,2.0,0,0,0,0,0,1,0,1,1605,0,0,1,0.0,0,3,107400,1915,1950,0
526,2.0,1,0,0,1,0,1,0,1,988,0,0,1,0.0,0,4,91000,1973,1973,1
952,1.0,0,0,0,1,0,1,0,1,952,1,0,1,0.0,0,4,135750,1956,1956,0
1072,2.0,0,0,0,1,0,1,0,1,1285,0,0,1,0.0,0,5,127000,1948,2001,0
1768,2.0,0,0,0,1,0,0,0,0,1768,0,0,1,0.0,0,4,136500,1968,1968,0
682,1.5,0,0,0,1,0,2,0,1,1230,0,0,1,0.0,0,5,110000,1910,1981,0
1182,2.5,0,0,0,1,1,1,1,0,2142,0,0,0,576.0,0,6,193500,1968,1968,1
1337,3.0,1,1,0,1,0,2,1,0,1337,1,0,1,443.0,0,6,153500,1998,1998,1
1563,2.0,1,0,0,1,1,3,0,0,1563,1,0,0,468.0,0,8,245000,2007,2007,1
1065,1.5,0,0,0,1,0,2,0,1,1065,0,0,1,66.0,0,5,126500,1960,1960,0
804,2.5,0,0,0,1,1,2,1,0,1474,0,0,1,22.0,0,7,168500,1995,1996,1
1301,2.5,0,0,0,0,1,2,0,1,2417,1,0,0,284.0,0,8,260000,1991,1992,1
684,2.5,0,0,0,0,1,2,1,0,1560,1,0,0,0.0,0,6,174000,2005,2005,1
612,2.5,0,0,0,0,0,2,0,0,1224,1,0,0,76.0,0,6,164500,2009,2009,1
1013,1.0,0,0,0,0,0,0,0,0,1526,0,0,0,0.0,0,3,85000,1915,1982,0
990,2.0,1,0,0,1,0,0,0,0,990,1,0,1,0.0,0,4,123600,1994,1995,0
1040,1.0,0,0,0,1,0,2,0,1,1040,0,0,1,0.0,0,4,109900,1950,1950,1
1235,1.0,0,0,0,1,0,2,0,1,1235,0,0,1,203.0,0,5,98600,1961,1961,0
964,2.0,0,0,0,1,0,2,0,1,964,1,0,1,0.0,0,5,163500,1921,2006,0
1260,2.5,0,0,0,1,1,2,0,1,2291,1,0,1,0.0,0,6,133900,1910,1998,0
905,3.5,1,0,0,1,0,2,0,0,1786,1,0,0,0.0,0,6,204750,1997,1997,1
680,2.5,0,0,1,0,1,2,1,0,1470,0,0,1,68.0,0,6,185000,1993,1993,1
1588,2.0,0,0,0,0,0,2,0,0,1588,1,0,0,183.0,0,7,214000,1999,1999,1
960,2.0,0,0,0,1,0,1,1,0,960,0,0,1,48.0,0,4,94750,1965,1965,0
835,1.0,0,0,0,1,0,1,0,1,835,0,0,1,0.0,0,5,83000,1920,1950,0
1225,2.5,0,0,0,1,0,0,0,0,1225,0,0,1,0.0,0,4,128950,1959,1959,0
1610,3.0,0,0,0,1,2,2,0,0,1610,0,0,0,28.0,0,6,205000,1977,2001,1
977,2.5,0,0,0,0,1,2,1,0,1732,0,0,0,336.0,0,6,178000,1985,1985,1
1535,2.0,0,0,0,1,0,2,0,1,1535,0,0,1,0.0,0,5,118964,1979,1979,0
1226,2.0,0,0,0,1,0,3,0,0,1226,1,0,0,0.0,0,7,198900,2009,2009,1
1226,1.5,0,0,0,1,2,1,0,1,1818,1,0,1,600.0,0,7,169500,1931,1950,0
1053,2.5,0,1,0,0,1,2,0,0,1992,1,0,0,768.0,0,8,250000,2003,2004,1
1047,1.0,0,0,0,1,0,1,0,1,1047,0,0,1,0.0,0,4,100000,1885,1995,0
789,1.0,0,0,0,1,0,1,0,1,789,1,0,1,0.0,0,5,115000,1948,1950,0
997,2.0,0,0,0,1,0,0,0,0,1517,0,0,0,0.0,0,5,115000,1919,2005,0
1844,2.0,0,0,0,1,1,2,0,0,1844,1,0,1,480.0,0,6,190000,1977,1977,1
1216,2.0,0,0,0,1,0,1,0,1,1855,0,0,1,0.0,0,6,136900,1954,1972,0
774,2.5,1,0,0,1,1,2,1,0,1430,1,0,1,0.0,0,7,180000,2000,2000,0
1282,3.5,1,1,0,0,1,3,1,0,2696,1,1,0,220.0,0,7,383970,2007,2007,1
2259,3.0,0,0,0,1,2,2,0,1,2259,0,0,0,184.0,0,6,217000,1953,1953,1
1436,3.5,0,0,0,1,1,1,0,1,2320,1,0,0,0.0,0,6,259500,1945,2002,0
729,2.5,1,0,0,1,1,2,0,1,1458,0,0,1,1129.0,0,6,176000,1999,1999,1
1092,1.5,0,0,0,1,1,1,0,1,1092,0,0,1,116.0,0,5,139000,1962,1962,1
1125,1.5,0,0,0,1,0,2,0,1,1125,0,0,1,0.0,0,5,155000,2006,2007,1
1699,4.0,1,0,0,1,2,3,0,1,3222,0,0,0,0.0,0,7,320000,1990,1990,0
728,2.5,0,0,0,0,1,2,1,0,1456,1,0,0,0.0,0,6,163990,2005,2006,1
988,2.0,0,0,0,1,2,2,0,1,988,1,0,1,0.0,0,6,180000,1969,1969,1
772,1.0,0,0,0,1,0,1,0,1,1123,0,0,1,0.0,0,4,100000,1939,1950,0
1080,1.0,0,0,0,1,0,1,0,1,1080,0,0,1,135.0,0,6,136000,1958,1958,0
1199,2.0,1,0,0,0,0,2,0,0,1199,1,0,0,0.0,0,6,153900,1993,1993,1
