OverallQual,CentralAir_Y,Exterior2nd_VinylSd,BsmtExposure_No,FullBath,Fireplaces,RoofStyle_Gable,FireplaceQu_Ex,MSZoning_RL,1stFlrSF,GarageFinish_0,Baths,FireplaceQu_Gd,Foundation_CBlock,BsmtQual_Gd,YearBuilt,RoofStyle_Hip,GarageCond_TA,KitchenQual_Ex,TotRmsAbvGrd,Neighborhood_NridgHt,HeatingQC_Ex,has_OpenPorchSF,MSSubClass_30,YearRemodAdd,GarageArea,LotShape_IR1,LotShape_Reg,Foundation_PConc,TotalBsmtSF,BsmtExposure_Gd,HouseStyle_2Story,GarageType_0,Electrical_SBrkr,GarageQual_TA,has_WoodDeckSF,GarageType_Attchd,GarageType_BuiltIn,GarageYrBlt,ExterQual_Ex,BsmtFinSF1,MasVnrArea,MSZoning_RM,BsmtQual_Ex,SaleType_WD,GarageType_Detchd,GarageQual_0,Neighborhood_StoneBr,open_outside_areas,GarageCars,HeatingQC_TA,ExterQual_TA,PavedDrive_Y,PavedDrive_N,roominess,HalfBath,SaleCondition_Partial,ExterQual_Gd,GarageCond_0,BsmtFullBath,OpenPorchSF,BsmtFinType1_GLQ,MasVnrType_Stone,Foundation_BrkTil,MasVnrType_None,Exterior1st_VinylSd,BsmtQual_TA,WoodDeckSF,has_MasVnrArea,GarageFinish_Fin,KitchenQual_Gd,GrLivArea,MSSubClass_60,SaleType_New,CentralAir_N,LotFrontage,2ndFlrSF,BsmtUnfSF,KitchenQual_TA,Neighborhood_NoRidge,GarageFinish_Unf,LotArea,FireplaceQu_0,SalePrice
7,1,1,1,2,0,1,0,1,856,0,3.5,0,0,1,2003,0,1,0,8,0,1,1,0,2003,548,0,1,1,856,0,1,0,1,1,0,1,0,2003.0,0,706,196.0,0,0,1,0,0,0,1,2,0,0,1,0,213.75,1,0,1,0,1,61,1,0,0,0,1,0,0,1,0,1,1710,1,0,0,65.0,854,150,0,0,0,8450,1,208500
6,1,0,0,2,1,1,0,1,1262,0,2.5,0,1,1,1976,0,1,0,6,0,1,0,0,1976,460,0,1,0,1262,1,0,0,1,1,1,1,0,1976.0,0,978,0.0,0,0,1,0,0,0,1,2,0,1,1,0,210.33333333333334,0,0,0,0,0,0,0,0,0,1,0,0,298,0,0,0,1262,0,0,0,80.0,0,284,1,0,0,9600,0,181500
7,1,1,0,2,1,1,0,1,920,0,3.5,0,0,1,2001,0,1,0,6,0,1,1,0,2002,608,1,0,1,920,0,1,0,1,1,0,1,0,2001.0,0,486,162.0,0,0,1,0,0,0,1,2,0,0,1,0,297.6666666666667,1,0,1,0,1,42,1,0,0,0,1,0,0,1,0,1,1786,1,0,0,68.0,866,434,0,0,0,11250,0,223500
7,1,0,1,1,1,1,0,1,961,0,2.0,1,0,0,1915,0,1,0,7,0,0,1,0,1970,642,1,0,0,756,0,1,0,1,1,0,0,0,1998.0,0,216,0.0,0,0,1,1,0,0,1,3,0,1,1,0,245.28571428571428,0,0,0,0,1,35,0,0,1,1,0,1,0,0,0,1,1717,0,0,0,60.0,756,540,0,0,1,9550,0,140000
8,1,1,0,2,1,1,0,1,1145,0,3.5,0,0,1,2000,0,1,0,9,0,1,1,0,2000,836,1,0,1,1145,0,1,0,1,1,1,1,0,2000.0,0,655,350.0,0,0,1,0,0,0,1,3,0,0,1,0,244.22222222222223,1,0,1,0,1,84,1,0,0,0,1,0,192,1,0,1,2198,1,0,0,84.0,1053,490,0,1,0,14260,0,250000
5,1,1,1,1,0,1,0,1,796,0,2.5,0,0,1,1993,0,1,0,5,0,1,1,0,1995,480,1,0,0,796,0,0,0,1,1,1,1,0,1993.0,0,732,0.0,0,0,1,0,0,0,1,2,0,1,1,0,272.4,1,0,0,0,1,30,1,0,0,1,1,0,40,0,0,0,1362,0,0,0,85.0,566,64,1,0,1,14115,1,143000
8,1,1,0,2,1,1,0,1,1694,0,3.0,1,0,0,2004,0,1,0,7,0,1,1,0,2005,636,0,1,1,1686,0,0,0,1,1,1,1,0,2004.0,0,1369,186.0,0,1,1,0,0,0,1,2,0,0,1,0,242.0,0,0,1,0,1,57,1,1,0,0,1,0,255,1,0,1,1694,0,0,0,75.0,0,317,0,0,0,10084,0,307000
7,1,0,0,2,2,1,0,1,1107,0,3.5,0,1,1,1973,0,1,0,7,0,1,1,0,1973,484,1,0,0,1107,0,1,0,1,1,1,1,0,1973.0,0,859,240.0,0,0,1,0,0,0,1,2,0,1,1,0,298.57142857142856,1,0,0,0,1,204,0,1,0,0,0,0,235,1,0,0,2090,1,0,0,70.04995836802665,983,216,1,0,0,10382,0,200000
7,1,0,1,2,2,1,0,0,1022,0,2.0,0,0,0,1931,0,1,0,8,0,0,0,0,1950,468,0,1,0,952,0,0,0,0,0,1,0,0,1931.0,0,0,0.0,1,0,1,1,0,0,1,2,0,1,1,0,221.75,0,0,0,0,0,0,0,0,1,1,0,1,90,0,0,0,1774,0,0,0,51.0,752,952,1,0,1,6120,0,129900
5,1,0,1,1,2,1,0,1,1077,0,2.0,0,0,0,1939,0,1,0,5,0,1,1,0,1950,205,0,1,0,991,0,0,0,1,0,0,1,0,1939.0,0,851,0.0,0,0,1,0,0,0,1,1,0,1,1,0,215.4,0,0,0,0,1,4,1,0,1,1,0,1,0,0,0,0,1077,0,0,0,50.0,0,140,1,0,0,7420,0,118000
5,1,0,1,1,0,0,0,1,1040,0,2.0,0,1,0,1965,1,1,0,5,0,1,0,0,1965,384,0,1,0,1040,0,0,0,1,1,0,0,0,1965.0,0,906,0.0,0,0,1,1,0,0,0,1,0,1,1,0,208.0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1040,0,0,0,70.0,0,134,1,0,1,11200,1,129500
9,1,0,1,3,2,0,0,1,1182,0,4.0,1,0,0,2005,1,1,1,11,1,1,1,0,2006,736,1,0,1,1175,0,1,0,1,1,1,0,1,2005.0,1,998,286.0,0,1,0,0,0,0,1,3,0,0,1,0,211.27272727272728,0,1,0,0,1,21,1,1,0,0,0,0,147,1,1,0,2324,1,1,0,85.0,1142,177,0,0,0,11924,0,345000
5,1,0,1,1,0,0,0,1,912,0,2.0,0,1,0,1962,1,1,0,4,0,0,0,0,1962,352,0,0,0,912,0,0,0,1,1,1,0,0,1962.0,0,737,0.0,0,0,1,1,0,0,1,1,1,1,1,0,228.0,0,0,0,0,1,0,0,0,0,1,0,1,140,0,0,0,912,0,0,0,70.04995836802665,0,175,1,0,1,12968,1,144000
7,1,1,0,2,1,1,0,1,1494,0,2.0,1,0,1,2006,0,1,0,7,0,1,1,0,2007,840,1,0,1,1494,0,0,0,1,1,1,1,0,2006.0,0,0,306.0,0,0,0,0,0,0,1,3,0,0,1,0,213.42857142857142,0,1,1,0,0,33,0,1,0,0,1,0,160,1,0,1,1494,0,1,0,91.0,0,1494,0,0,0,10652,0,279500
6,1,0,1,1,1,0,0,1,1253,0,2.5,0,1,0,1960,1,1,0,5,0,0,1,0,1960,352,1,0,0,1253,0,0,0,1,1,0,1,0,1960.0,0,733,212.0,0,0,1,0,0,0,1,1,1,1,1,0,250.6,1,0,0,0,1,213,0,0,0,0,0,1,0,1,0,0,1253,0,0,0,70.04995836802665,0,520,1,0,0,10920,0,157000
7,1,0,1,1,0,1,0,0,854,0,1.0,0,0,0,1929,0,1,0,5,0,1,1,0,2001,576,0,1,0,832,0,0,0,0,1,1,0,0,1991.0,0,0,0.0,1,0,1,1,0,0,1,2,0,1,1,0,170.8,0,0,0,0,0,112,0,0,1,1,0,1,48,0,0,0,854,0,0,0,51.0,0,832,1,0,1,6120,1,132000
6,1,0,1,1,1,1,0,1,1004,0,2.0,0,1,0,1970,0,1,0,5,0,1,0,0,1970,480,1,0,0,1004,0,0,0,1,1,0,1,0,1970.0,0,578,180.0,0,0,1,0,0,0,0,2,0,1,1,0,200.8,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1004,0,0,0,70.04995836802665,0,426,1,0,0,11241,0,149000
4,1,0,0,2,0,1,0,1,1296,0,2.0,0,0,0,1967,0,1,0,6,0,0,0,0,1967,516,0,1,0,0,0,0,0,1,1,0,0,0,1967.0,0,0,0.0,0,0,1,0,0,0,0,2,1,1,1,0,216.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1296,0,0,0,72.0,0,0,1,0,1,10791,1,90000
5,1,1,1,1,0,1,0,1,1114,0,2.5,0,0,0,2004,0,1,0,6,0,1,1,0,2004,576,0,1,1,1114,0,0,0,1,1,0,0,0,2004.0,0,646,0.0,0,0,1,1,0,0,1,2,0,1,1,0,185.66666666666666,1,0,0,0,1,102,1,0,0,1,1,1,0,0,0,1,1114,0,0,0,66.0,0,468,0,0,1,13695,1,159000
5,1,0,1,1,0,0,0,1,1339,0,1.0,0,1,0,1958,1,1,0,6,0,0,0,0,1965,294,0,1,0,1029,0,0,0,1,1,0,1,0,1958.0,0,504,0.0,0,0,0,0,0,0,0,1,1,1,1,0,223.16666666666666,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1339,0,0,0,70.0,0,525,1,0,1,7560,1,139000
8,1,1,0,3,1,1,0,1,1158,0,3.5,1,0,0,2005,0,1,0,9,1,1,1,0,2006,853,1,0,1,1158,0,1,0,1,1,1,0,1,2005.0,0,0,380.0,0,1,0,0,0,0,1,3,0,0,1,0,264.0,1,1,1,0,0,154,0,0,0,0,1,0,240,1,0,1,2376,1,1,0,101.0,1218,1158,0,0,0,14215,0,325300
7,1,0,1,1,1,1,0,0,1108,0,1.0,1,0,0,1930,0,1,0,6,0,1,0,0,1950,280,0,1,1,637,0,0,0,0,1,0,1,0,1930.0,0,0,0.0,1,0,1,0,0,0,0,1,0,1,0,1,184.66666666666666,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1108,0,0,0,57.0,0,637,0,0,1,7449,0,139400
8,1,1,1,2,1,0,0,1,1795,0,2.0,1,0,1,2002,1,1,0,7,0,1,1,0,2002,534,0,1,1,1777,0,0,0,1,1,1,1,0,2002.0,0,0,281.0,0,0,1,0,0,0,1,2,0,0,1,0,256.42857142857144,0,0,1,0,0,159,0,0,0,0,1,0,171,1,0,1,1795,0,0,0,75.0,0,1777,0,0,0,9742,0,230000
